"GEOID","PopulationValue","CENTLAT","CENTLON"
200450012022,2311,38.9357085,-95.1037465
200450012024,1168,38.9086649,-95.0738608
200450012031,1681,38.7890455,-95.2229483
200450012032,2346,38.7870464,-95.1161842
200450012033,1185,38.7730215,-95.1739652
200450012034,1949,38.7750396,-95.1955956
200450014001,1872,38.8571417,-95.3164899
200450014002,1504,38.9572509,-95.4272665
200450014003,1383,38.8141352,-95.4113026
200450015001,1358,39.0156015,-95.3269319
200450015002,1025,39.0350952,-95.4414698
200479696001,811,37.868754,-99.1312356
200479696002,581,37.8970538,-99.4143313
200479697001,723,37.92326,-99.4123172
200479697002,792,37.9295842,-99.4191258
200499651001,498,37.4775965,-96.1349714
200499651002,644,37.4875437,-96.2829579
200499651003,905,37.4571502,-96.402134
200499651004,436,37.358608,-96.0499713
200510726001,1178,38.8568707,-99.1508798
200510726002,1431,38.9176457,-99.1698265
200510727014,925,38.8818841,-99.3133299
200510727015,1005,38.874582,-99.3039818
200510727011,1136,38.8688509,-99.3091959
200510727012,1131,38.8902412,-99.3099016
200510727013,1056,38.8817852,-99.3040499
200510727023,940,38.9040202,-99.2760068
200510727021,1238,38.838328,-99.2868629
200510727022,978,38.871466,-99.2950957
200510728013,1253,38.8876174,-99.3319228
200510728011,1266,38.8913965,-99.3220227
200510728012,1125,38.8967201,-99.3297636
200510728014,1161,38.8819464,-99.3237306
200510728021,1749,38.9081377,-99.3599765
200510728022,1022,38.8929154,-99.3422344
200510728023,598,38.8817723,-99.3392513
200510729013,860,38.8775629,-99.3337204
200510729011,985,38.8753722,-99.3282022
200510729012,924,38.8719921,-99.3216475
200510729023,1075,38.8697967,-99.3356566
200510729021,949,38.838389,-99.3540025
200510729022,1670,38.8709378,-99.3471267
200510730003,952,38.9427983,-99.5767249
200510730001,1160,38.9178279,-99.461186
200510730002,1167,38.9330573,-99.541882
200530866002,1120,38.6985505,-98.0666517
200530866001,858,38.6041948,-98.3379904
200530867001,1341,38.7766188,-98.3528633
200530867002,771,38.7219056,-98.2327247
200530867003,781,38.745192,-98.218342
200530867004,1505,38.7473117,-98.2338737
200559601001,1001,38.1346859,-100.6544596
200559601002,2634,37.9992745,-101.023826
200559601003,861,37.841534,-100.8896738
200559602002,1382,37.9830939,-100.8878206
200559602004,1691,37.9835736,-100.8700058
200559602001,1002,38.0274562,-100.9028776
200559602003,1404,37.9874695,-100.8775761
200559602005,1360,37.9775356,-100.8788209
200559603003,1076,37.971086,-100.859664
200559603002,923,37.9715898,-100.8696266
200559603001,953,37.9769412,-100.8655209
200559604011,1192,37.9810308,-100.8599921
200559604012,793,37.9866767,-100.8597978
200559604031,1671,37.9822788,-100.8490376
200559604032,948,37.9858426,-100.8391005
200559604041,1996,37.9936895,-100.8602924
200559604042,2201,38.029278,-100.8309949
200559605011,951,37.9828113,-100.8100096
200559605012,1550,37.9493922,-100.7957312
200559605031,1148,37.9073973,-100.8235731
200559605051,1594,37.9629027,-100.8665602
200559605071,783,37.9722714,-100.845909
200559605072,1001,37.9632435,-100.8459595
200559605081,1468,37.9710548,-100.8323082
200559605082,1734,37.9637269,-100.8304992
200559606001,2120,37.9876992,-100.9253271
200559606002,824,37.9737006,-100.8871299
200559606003,1140,37.9699117,-100.8790488
200559606004,1069,37.9163411,-100.9021622
200579616001,616,37.7745951,-99.7111927
200579616002,1357,37.8618618,-100.0008604
200579617002,1077,37.592815,-99.9455517
200579617001,795,37.5418861,-99.6116604
200579618013,795,37.7689819,-100.0106143
200579618011,1191,37.7616355,-100.0087248
200579618012,1484,37.7741083,-100.004726
200579618014,1008,37.7618045,-100.0143531
200579618021,1802,37.7873593,-100.019476
200579618022,1465,37.8030826,-99.9679261
200579618023,1539,37.7577036,-99.946668
200579619011,1615,37.7612832,-100.0476856
200579619012,1750,37.7618558,-100.0199373
200579619013,1164,37.7616058,-100.0265547
200579619022,957,37.7692649,-100.0284158
200579619021,1861,37.7932406,-100.0697034
200579619023,1059,37.7728314,-100.0201001
200579620001,721,37.7548563,-100.0258724
200579620002,832,37.7556787,-100.0345246
200579620004,1073,37.71481,-100.0696611
200579620003,1179,37.7470254,-100.0711402
200579620005,1133,37.7287313,-100.0253981
200579621011,1688,37.7547161,-100.0159523
200579621012,934,37.7515089,-99.994078
200579621013,1942,37.7440849,-100.0085951
200579621022,1794,37.7150042,-99.9563505
200579621021,1456,37.7136966,-100.0131129
200599541011,1562,38.632277,-95.4317393
200599541012,861,38.5569363,-95.4270124
200599541013,1424,38.6992157,-95.3825103
200599541021,1423,38.7289707,-95.0869486
200599541022,1016,38.710707,-95.0856146
200599541023,656,38.6991124,-95.1960249
200599542001,1115,38.6411832,-95.2820692
200599542002,1777,38.6225716,-95.2453727
200599543002,1477,38.6128292,-95.2769865
200599543004,956,38.6005481,-95.2726027
200599543001,1527,38.5934274,-95.3040355
200599543003,1481,38.6012003,-95.2810528
200599544003,948,38.6066047,-95.2636255
200599544001,1499,38.5878536,-95.2663986
200599544002,1486,38.6136448,-95.2615291
200599544004,841,38.5950001,-95.2488669
200599545001,1124,38.6247222,-95.128005
200599545005,801,38.4305151,-95.294847
200599545002,1095,38.5378959,-95.1775197
200599545003,1028,38.4432332,-95.1537207
200599545004,1054,38.5146965,-95.3092852
200599545006,845,38.4498482,-95.4233943
200610001002,807,39.055502,-96.8099793
200610001001,772,39.0340837,-96.8154876
200610001003,524,39.0427045,-96.8232752
200610002001,1228,39.0415364,-96.8434997
200610002003,688,39.0424327,-96.8346549
200610002002,766,39.0332936,-96.8350227
200610003003,1053,39.028955,-96.8575802
200610003001,789,39.0407173,-96.8517344
200610003002,760,39.0322422,-96.8440447
200610003004,1059,39.0553769,-96.8565959
200610003005,1291,39.0381568,-96.8568592
200610004011,1863,39.0161232,-96.8535027
200610004012,1098,39.0046516,-96.8515379
200610004013,1239,39.0113228,-96.8479567
200610004021,850,39.0227384,-96.8440362
200610004022,801,39.0176361,-96.8430269
200610005003,782,39.0230161,-96.8352475
200610005001,549,39.0282502,-96.8352214
200610005002,661,39.0210219,-96.8245677
200610005004,677,39.0145231,-96.8331382
200610006012,4532,39.0748904,-96.8459414
200610006011,1127,39.0666527,-96.8211182
200610006021,1199,39.06208,-96.7736455
200610006022,1709,39.0781402,-96.7988049
200610007001,1090,38.9675475,-96.6688991
200610007002,1663,39.0400981,-96.791039
200610008011,889,39.0305594,-96.8800643
200610008012,1516,39.0223862,-96.8680292
200610008023,411,39.0440945,-96.9238336
200610008021,1698,39.1503984,-96.9039518
200610008022,2648,38.9423135,-96.8949168
200639553003,1046,38.9248032,-100.6341952
200639553001,699,38.9019265,-100.3098454
200639553002,973,39.059918,-100.2505522
200659523003,886,39.3492593,-99.8840565
200659523001,756,39.3714344,-99.8737418
200659523002,773,39.3604317,-99.8231393
200679636001,1377,37.5618282,-101.3069593
200679637003,628,37.5796032,-101.358823
200679637001,1155,37.596386,-101.355151
200679637002,1144,37.5992965,-101.3728621
200679637004,2416,37.5621598,-101.3345462
200679637005,632,37.5736792,-101.3795951
200699626001,635,37.9160062,-100.4313725
200699626002,966,37.8156709,-100.3851977
200699626003,1168,37.8117212,-100.3071794
200699627001,679,37.5456555,-100.3980229
200699627002,1019,37.6204853,-100.4338552
200699627003,1186,37.7156258,-100.4721381
200719581001,650,38.4698849,-101.7545551
200719581002,634,38.4804088,-101.8059926
200739656001,775,38.1451936,-96.1326023
200739656002,1200,37.9867233,-96.2324077
200739657001,1317,37.844282,-96.2902281
200739657002,1138,37.8079702,-96.2616333
200739658001,754,37.7248673,-96.0881278
200739658002,832,37.7042596,-96.3709944
200759586001,1489,37.9972807,-101.6501751
200759586002,1029,38.0001217,-101.9025771
200779616001,697,37.2767716,-97.9319602
200779616002,1273,37.2847716,-98.0279344
200779617001,705,37.1564958,-98.1339874
200779617002,591,37.2538279,-98.2300607
200779618001,748,37.1621168,-98.0494465
200779618002,1471,37.1583851,-97.9964695
200790301001,970,38.0507996,-97.3138132
200790301002,675,38.0623671,-97.3306122
200790301004,1922,38.0746118,-97.327627
200790301003,944,38.0562293,-97.341516
200790302004,618,38.0516307,-97.3486017
200790302001,1085,38.0618539,-97.3506339
200790302002,1329,38.0510782,-97.3654375
200790302003,1610,38.0624504,-97.3621202
200790302005,635,38.0653021,-97.3975024
200790303001,841,38.0415646,-97.3523647
200790303002,1675,38.0294932,-97.3932313
200790303003,1711,38.0200227,-97.3457718
200790303004,1499,38.0262321,-97.3559046
200790304004,874,38.0391457,-97.335193
200790304001,1564,38.0276087,-97.3348831
200790304002,778,38.0415408,-97.3422257
200790304003,699,38.0480931,-97.3377911
200790304005,1088,38.0305467,-97.3157682
200790305002,1227,38.1007251,-97.562148
200790305004,1742,38.1336543,-97.4318801
200790305001,708,38.1090728,-97.2086731
200790305003,2453,38.1275616,-97.3377801
200790306013,1433,37.9268737,-97.4271003
200790306011,845,37.9672182,-97.2350574
200790306012,1242,37.978973,-97.3822124
200790306021,1228,38.0140357,-97.5186687
200790306022,1111,37.9922642,-97.5186492
200790306023,1518,37.9677555,-97.6049311
200814631003,1121,37.4342661,-100.9800074
200814631001,644,37.6206755,-100.76648
200814631002,684,37.5366859,-100.9221625
200814631004,1331,37.4722105,-100.8402983
200834611001,860,38.0873398,-99.7342468
200834611002,863,38.087434,-100.0625245
200850826004,625,39.5772414,-95.73544
200850826001,1757,39.3064283,-95.6554819
200850826002,1282,39.25266,-95.6871146
200850826003,788,39.5360386,-95.623821
200850826005,700,39.3914926,-95.6571016
200850827001,1476,39.4841365,-95.7261926
200850827002,1219,39.4483777,-95.7290336
200850827003,790,39.4623781,-95.7304472
200850827004,567,39.4646376,-95.7427543
200850828001,1561,39.4863979,-95.9023644
200850828002,2467,39.3132369,-95.8846578
200870201011,1149,39.1838627,-95.5709707
200870201012,1808,39.1063219,-95.5112134
200870201013,1431,39.2685428,-95.5203286
200870201014,1629,39.1945906,-95.5101885
200870201021,1310,39.0935106,-95.3773221
200870201022,1671,39.2140249,-95.4132657
200870202003,1033,39.3545751,-95.2460391
200870202001,1165,39.3366729,-95.4618709
200870202002,1553,39.3605012,-95.4472177
200870203004,1284,39.1235284,-95.2179751
200870203001,1763,39.2461819,-95.3142632
200870203002,1112,39.2416041,-95.217456
200870203003,1460,39.1230653,-95.303688
200895763002,962,39.7834639,-98.2019939
200895763003,1042,39.8829624,-98.2015062
200895763001,928,39.6621249,-98.2409127
200910500002,695,39.0416653,-94.6166013
200910500005,680,39.0363823,-94.6254329
200910500001,744,39.0415108,-94.6267185
200910500003,751,39.0389398,-94.609706
200910500004,817,39.0362988,-94.6165173
200910500006,1378,39.0299674,-94.6174704
200910501004,684,39.0318216,-94.6349628
200910501001,1313,39.0402034,-94.6450923
200910501002,1196,39.0393655,-94.6356224
200910501003,1196,39.0332725,-94.644314
200910502001,919,39.0269162,-94.6427697
200910502002,1004,39.026767,-94.6536981
200910502003,1193,39.0331525,-94.6537132
200910502004,643,39.0402012,-94.6534157
200910503011,1020,39.0275812,-94.6622789
200910503012,875,39.0334503,-94.6635693
200910503013,630,39.0384894,-94.6672962
200910503014,1602,39.0397368,-94.6615123
200910503022,696,39.0180732,-94.660122
200910503021,1103,39.0212509,-94.6495754
200910504003,1479,39.0224109,-94.6847126
200910504001,1412,39.0339822,-94.6768683
200910504002,1075,39.0186008,-94.6723382
200910504004,930,39.0257363,-94.672424
200910505001,680,39.0119419,-94.6731025
200910505002,744,39.0060967,-94.6698372
200910505003,1083,39.0068622,-94.6801321
200910506001,1183,39.0076941,-94.6630214
200910506002,893,39.0114513,-94.6536146
200910506003,744,38.996754,-94.663033
200910506004,677,39.0042604,-94.6542214
200910506005,1068,38.9967341,-94.6537178
200910507002,735,39.0178023,-94.6342012
200910507001,856,39.0247592,-94.6335629
200910507003,1411,39.0096935,-94.6351182
200910507004,1179,39.0094813,-94.6444128
200910507005,640,39.0173661,-94.6423416
200910508001,778,39.0206195,-94.6125509
200910508002,1163,39.021514,-94.6242216
200910508003,758,39.011621,-94.6234359
200910509001,961,39.0104317,-94.6137087
200910509003,1633,38.9966668,-94.6234879
200910509002,1210,39.0038243,-94.6183283
200910509004,924,38.9967143,-94.61226
200910510001,1068,38.9967366,-94.6446175
200910510002,981,39.0011621,-94.6366249
200910510003,1009,38.9971151,-94.6339879
200910510004,705,39.0022104,-94.6456455
200910511001,946,38.9967561,-94.6723734
200910511002,1230,38.9894848,-94.6723806
200910511003,693,38.9894612,-94.6817246
200910511004,656,38.9967526,-94.6817424
200910512001,1875,38.9775892,-94.6718569
200910512002,645,38.9741299,-94.6806209
200910512003,1670,38.9813772,-94.6807741
200910513003,1283,38.982195,-94.6630105
200910513001,1442,38.9896532,-94.6547527
200910513002,899,38.9892102,-94.6639216
200910513004,902,38.9822162,-94.6536829
200910514001,952,38.9891396,-94.6450427
200910514002,738,38.9898368,-94.6359702
200910514003,719,38.9827267,-94.6353312
200910514004,829,38.9822374,-94.6442553
200910515003,1193,38.9870105,-94.6228382
200910515001,801,38.9914319,-94.6234551
200910515002,1005,38.980849,-94.6274917
200910515004,1116,38.9887273,-94.6122745
200910516001,1076,38.9812828,-94.61635
200910516002,1028,38.9673065,-94.6114309
200910516003,1976,38.9624057,-94.6226505
200910516004,1560,38.9728735,-94.6216962
